,0,1,2,3,4,5
155,1.0,7.0,1200.0,1.5,200.0,1952.0
156,1.0,7.0,1300.0,1.5,226.0,2454.0
157,1.0,7.0,1400.0,2.6,258.0,3821.0
158,1.0,7.0,1500.0,3.2,99.0,603.0
159,1.0,7.0,1600.0,4.5,55.0,168.0
160,1.0,7.0,1700.0,3.2,2.0,0.0
161,1.0,7.0,1800.0,2.2,0.0,0.0
162,1.0,7.0,1900.0,2.2,0.0,0.0
163,1.0,7.0,2000.0,1.9,0.0,0.0
164,1.0,7.0,2100.0,1.7,0.0,0.0
165,1.0,7.0,2200.0,1.6,0.0,0.0
166,1.0,7.0,2300.0,1.3,0.0,0.0
167,1.0,7.0,2400.0,1.2,0.0,0.0
168,1.0,8.0,100.0,1.0,0.0,0.0
169,1.0,8.0,200.0,0.7,0.0,0.0
170,1.0,8.0,300.0,0.5,0.0,0.0
171,1.0,8.0,400.0,-0.1,0.0,0.0
172,1.0,8.0,500.0,-0.1,0.0,0.0
173,1.0,8.0,600.0,1.3,0.0,0.0
174,1.0,8.0,700.0,10.3,0.0,0.0
175,1.0,8.0,800.0,10.8,7.0,0.0
176,1.0,8.0,900.0,11.2,41.0,0.0
177,1.0,8.0,1000.0,10.8,149.0,1988.0
178,1.0,8.0,1100.0,10.9,45.0,127.0
179,1.0,8.0,1200.0,11.7,264.0,3716.0
180,1.0,8.0,1300.0,12.0,279.0,4533.0
181,1.0,8.0,1400.0,12.1,118.0,1031.0
182,1.0,8.0,1500.0,12.4,158.0,1704.0
183,1.0,8.0,1600.0,12.6,30.0,0.0
184,1.0,8.0,1700.0,12.8,1.0,0.0
185,1.0,8.0,1800.0,12.7,0.0,0.0
186,1.0,8.0,1900.0,12.6,0.0,0.0
187,1.0,8.0,2000.0,12.4,0.0,0.0
188,1.0,8.0,2100.0,12.1,0.0,0.0
189,1.0,8.0,2200.0,12.2,0.0,0.0
190,1.0,8.0,2300.0,12.4,0.0,0.0
191,1.0,8.0,2400.0,12.3,0.0,0.0
192,1.0,9.0,100.0,12.7,0.0,0.0
193,1.0,9.0,200.0,8.2,0.0,0.0
194,1.0,9.0,300.0,7.0,0.0,0.0
195,1.0,9.0,400.0,6.8,0.0,0.0
196,1.0,9.0,500.0,7.2,0.0,0.0
197,1.0,9.0,600.0,6.9,0.0,0.0
198,1.0,9.0,700.0,6.8,0.0,0.0
199,1.0,9.0,800.0,7.1,7.0,0.0
200,1.0,9.0,900.0,7.7,43.0,1.0
201,1.0,9.0,1000.0,8.1,42.0,0.0
202,1.0,9.0,1100.0,7.9,100.0,739.0
203,1.0,9.0,1200.0,9.0,133.0,1115.0
204,1.0,9.0,1300.0,9.4,200.0,2169.0
205,1.0,9.0,1400.0,10.0,152.0,1554.0
206,1.0,9.0,1500.0,8.7,81.0,459.0
207,1.0,9.0,1600.0,8.5,35.0,0.0
208,1.0,9.0,1700.0,7.5,1.0,0.0
209,1.0,9.0,1800.0,7.0,0.0,0.0
210,1.0,9.0,1900.0,6.1,0.0,0.0
211,1.0,9.0,2000.0,5.8,0.0,0.0
212,1.0,9.0,2100.0,5.4,0.0,0.0
213,1.0,9.0,2200.0,5.0,0.0,0.0
214,1.0,9.0,2300.0,5.6,0.0,0.0
215,1.0,9.0,2400.0,3.8,0.0,0.0
216,1.0,10.0,100.0,4.5,0.0,0.0
217,1.0,10.0,200.0,3.8,0.0,0.0
218,1.0,10.0,300.0,3.9,0.0,0.0
219,1.0,10.0,400.0,3.1,0.0,0.0
220,1.0,10.0,500.0,2.5,0.0,0.0
221,1.0,10.0,600.0,2.7,0.0,0.0
222,1.0,10.0,700.0,2.2,0.0,0.0
223,1.0,10.0,800.0,2.2,8.0,0.0
224,1.0,10.0,900.0,2.5,43.0,19.0
225,1.0,10.0,1000.0,2.9,77.0,429.0
226,1.0,10.0,1100.0,4.3,344.0,4998.0
227,1.0,10.0,1200.0,4.4,203.0,1940.0
228,1.0,10.0,1300.0,5.1,339.0,4456.0
229,1.0,10.0,1400.0,5.7,227.0,2382.0
230,1.0,10.0,1500.0,5.8,105.0,729.0
231,1.0,10.0,1600.0,5.6,26.0,0.0
232,1.0,10.0,1700.0,5.0,2.0,0.0
233,1.0,10.0,1800.0,5.2,0.0,0.0
234,1.0,10.0,1900.0,5.1,0.0,0.0
235,1.0,10.0,2000.0,5.0,0.0,0.0
236,1.0,10.0,2100.0,4.9,0.0,0.0
237,1.0,10.0,2200.0,5.3,0.0,0.0
238,1.0,10.0,2300.0,5.2,0.0,0.0
239,1.0,10.0,2400.0,5.0,0.0,0.0
240,1.0,11.0,100.0,4.8,0.0,0.0
241,1.0,11.0,200.0,4.6,0.0,0.0
