index,month,day,time,temperature,irradiance,
463,1,20,800,5.5,8,
464,1,20,900,5.9,69,
465,1,20,1000,6.4,93,
466,1,20,1100,7.6,504,
467,1,20,1200,8,220,
468,1,20,1300,8.5,157,
469,1,20,1400,9.3,224,
470,1,20,1500,9,128,
471,1,20,1600,7.6,100,
472,1,20,1700,7.7,7,
473,1,20,1800,6.6,0,
474,1,20,1900,5.2,0,
475,1,20,2000,4.7,0,
476,1,20,2100,5.4,0,
477,1,20,2200,4.6,0,
478,1,20,2300,5,0,
479,1,20,2400,4.5,0,
480,1,21,100,4.5,0,
481,1,21,200,6.1,0,
482,1,21,300,5.1,0,
483,1,21,400,4.4,0,
484,1,21,500,4.5,0,
485,1,21,600,4.9,0,
486,1,21,700,5.6,0,
487,1,21,800,5.3,1,
488,1,21,900,5.6,184,
489,1,21,1000,6.5,315,
490,1,21,1100,6.5,74,
491,1,21,1200,7.3,555,
492,1,21,1300,8,288,
493,1,21,1400,8.2,222,
494,1,21,1500,8.2,160,
495,1,21,1600,8.8,88,
496,1,21,1700,7.2,11,
497,1,21,1800,7,0,
498,1,21,1900,8,0,
499,1,21,2000,7.4,0,
500,1,21,2100,7.4,0,
501,1,21,2200,7.6,0,
502,1,21,2300,7.7,0,
503,1,21,2400,7.6,0,
504,1,22,100,6.7,0,
505,1,22,200,5.1,0,
506,1,22,300,6.1,0,
507,1,22,400,3.8,0,
508,1,22,500,3.8,0,
509,1,22,600,3.3,0,
510,1,22,700,2.8,0,
511,1,22,800,2.5,14,
512,1,22,900,3.6,115,
513,1,22,1000,4.7,272,
514,1,22,1100,7.2,187,
515,1,22,1200,7.6,482,
516,1,22,1300,8.3,296,
517,1,22,1400,8.2,237,
518,1,22,1500,7.7,121,
519,1,22,1600,7.6,83,
520,1,22,1700,7,12,
521,1,22,1800,6.3,0,
522,1,22,1900,6,0,
523,1,22,2000,5.3,0,
524,1,22,2100,3.7,0,
525,1,22,2200,3.1,0,
526,1,22,2300,1.5,0,
527,1,22,2400,0.8,0,
528,1,23,100,-0.1,0,
529,1,23,200,-0.5,0,
530,1,23,300,-0.8,0,
531,1,23,400,-1.4,0,
532,1,23,500,-2.1,0,
533,1,23,600,-2.3,0,
534,1,23,700,-1.6,0,
535,1,23,800,-1,37,
536,1,23,900,1,185,
537,1,23,1000,3.5,332,
538,1,23,1100,6.1,447,
539,1,23,1200,6.9,461,
540,1,23,1300,7.2,307,
541,1,23,1400,7.2,269,
542,1,23,1500,7.3,165,
543,1,23,1600,7.7,243,
544,1,23,1700,6.7,14,
545,1,23,1800,4,0,
546,1,23,1900,1.1,0,
547,1,23,2000,1.2,0,
548,1,23,2100,0.2,0,
549,1,23,2200,-1.1,0,
550,1,23,2300,-0.9,0,
551,1,23,2400,-2.1,0,
552,1,24,100,-2.1,0,
553,1,24,200,-2.8,0,
554,1,24,300,-2.8,0,
555,1,24,400,-3.7,0,
556,1,24,500,-3.7,0,
557,1,24,600,-2.1,0,
558,1,24,700,-3.7,0,
559,1,24,800,-3.3,31,
560,1,24,900,-0.7,196,
561,1,24,1000,-0.2,329,
562,1,24,1100,1.5,431,
563,1,24,1200,2.8,484,
564,1,24,1300,4.1,486,
565,1,24,1400,5.2,431,
566,1,24,1500,6.5,325,
567,1,24,1600,6.9,185,
568,1,24,1700,3.8,10,
569,1,24,1800,1.6,0,
570,1,24,1900,1.1,0,
571,1,24,2000,1,0,
572,1,24,2100,1.1,0,
573,1,24,2200,1.8,0,
574,1,24,2300,1,0,
575,1,24,2400,0.5,0,
576,1,25,100,0.3,0,
577,1,25,200,0.6,0,
578,1,25,300,0.1,0,
579,1,25,400,-0.1,0,
580,1,25,500,-0.3,0,
581,1,25,600,-1.1,0,
582,1,25,700,-0.7,0,
583,1,25,800,-1.2,19,
584,1,25,900,0.2,57,
585,1,25,1000,1.2,132,
586,1,25,1100,2.5,141,
587,1,25,1200,3,203,
588,1,25,1300,3.6,251,
589,1,25,1400,3.9,64,
590,1,25,1500,3.4,65,
591,1,25,1600,3.4,42,
592,1,25,1700,2.9,5,
593,1,25,1800,2.5,0,
594,1,25,1900,2,0,
595,1,25,2000,1.7,0,
596,1,25,2100,1.3,0,
597,1,25,2200,1.2,0,
598,1,25,2300,0.2,0,
599,1,25,2400,0.9,0,
600,1,26,100,1.1,0,
601,1,26,200,0.8,0,
602,1,26,300,1.1,0,
603,1,26,400,0.6,0,
604,1,26,500,0.3,0,
605,1,26,600,0.7,0,
606,1,26,700,-1.3,0,
607,1,26,800,0,35,
608,1,26,900,0.2,69,
609,1,26,1000,1.4,131,
610,1,26,1100,4.9,449,
611,1,26,1200,6.1,506,
612,1,26,1300,6.8,488,
613,1,26,1400,7.7,436,
614,1,26,1500,7.9,323,
615,1,26,1600,7.9,165,
616,1,26,1700,5.4,14,
617,1,26,1800,3.8,0,
618,1,26,1900,2.3,0,
619,1,26,2000,1.2,0,
620,1,26,2100,1,0,
621,1,26,2200,1,0,
622,1,26,2300,0.2,0,
623,1,26,2400,0,0,
624,1,27,100,-0.2,0,
625,1,27,200,-0.8,0,
626,1,27,300,-1.3,0,
627,1,27,400,-0.9,0,
628,1,27,500,-2,0,
629,1,27,600,-1.6,0,
630,1,27,700,-2,0,
631,1,27,800,-0.9,62,
632,1,27,900,-0.3,142,
633,1,27,1000,1.8,293,
634,1,27,1100,5.3,436,
